month,CW-cost_before-tax (USD),CW-cost_after-tax (USD),ES-cost_before-tax (USD),ES-cost_after-tax (USD)
03-2019,274.39303375607994,342.99129219509996,4092.1214816613597,5115.1518520766995
04-2019,213.72864545496,267.1608068187,3536.82861216944,4421.0357652118
05-2019,212.00102462608,265.0012807826,3639.84712920424,4549.8089115053
06-2019,258.12179691048,322.6522461381,3530.5981062965593,4413.247632870699
07-2019,502.8717732168,628.589716521,3171.6781617668003,3964.5977022085003
08-2019,623.9478394239999,779.9347992799999,3222.62110265536,4028.2763783192004
09-2019,624.17800950024,780.2225118753,3714.81228938352,4643.5153617294
10-2019,834.4548076008799,1043.0685095011,5011.45624989176,6264.3203123647
11-2019,1054.6693075014402,1318.3366343768002,5285.70836410784,6607.1354551347995
12-2019,1506.52862186992,1883.1607773374,4246.60751039952,5308.2593879994
01-2020,1709.9382193932001,2137.4227742415,7213.36406233584,9016.7050779198
02-2020,2388.98243996656,2986.2280499582,7908.0199728506395,9885.0249660633
03-2020,2594.0001700502403,3242.5002125628002,5732.817494827441,7166.021868534301
04-2020,2480.51642679104,3100.6455334888,4889.51310600256,6111.8913825032
05-2020,3173.9113106519203,3967.3891383149003,4307.13976147816,5383.9247018477
06-2020,3212.38732500832,4015.4841562604,2858.0183921955204,3572.5229902444003
07-2020,3733.8236022375195,4667.2795027969,2136.33716613912,2670.4214576739005
08-2020,3877.85272478392,4847.3159059799,4810.74277235888,6013.4284654486
09-2020,4518.19115654648,5647.7389456831,5861.38855840216,7326.7356980027
10-2020,5255.7952507705595,6569.744063463199,7042.27366390768,8802.8420798846
11-2020,4422.250714379921,5527.813392974901,7836.9073946916005,9796.1342433645
12-2020,4423.64472186464,5529.5559023308,8202.523893328722,10253.154866660901
01-2021,4540.464364216319,5675.580455270399,8162.351801485679,10202.939751857099
02-2021,4344.109175928001,5430.136469910001,7416.73848151176,9270.9231018897
03-2021,5155.33850386472,6444.1731298309005,8269.88106883688,10337.3513360461
04-2021,4593.0351947482395,5741.2939934353,8588.875245610001,10736.0940570125
05-2021,4982.61503003536,6228.268787544201,9354.37392291456,11692.967403643199
06-2021,5093.25416018208,6366.567700227601,9335.54258626896,11669.4282328362
07-2021,4529.977692466641,5662.472115583301,9834.84884976976,12293.5610622122
08-2021,4560.4648615792,5700.581076974,10718.11935247848,13397.649190598098
09-2021,4367.61777162808,5459.5222145351,10373.790322004721,12967.237902505902
10-2021,4583.2120830659205,5729.0151038324,9982.9430001936,12478.678750242
11-2021,4546.861783197361,5683.577228996701,9581.286102630718,11976.607628288399
12-2021,4450.394489955919,5562.993112444899,9857.598956452479,12321.998695565599
01-2022,5061.13759329896,6326.421991623701,10260.58107505264,12825.7263438158
02-2022,4961.156825471759,6201.446031839699,10044.92918001784,12556.1614750223
03-2022,5447.8361412801605,6809.795176600201,11288.22206954976,14110.277586937202
04-2022,5771.6160483923195,7214.5200604904,10973.424638165281,13716.7807977066
05-2022,5800.712239398081,7250.8902992476,11794.96789178224,14743.7098647278
06-2022,4616.21622237616,5770.2702779701995,12108.64521272608,15135.8065159076
07-2022,3438.8523614977603,4298.5654518722,12597.521320457761,15746.901650572201
08-2022,1598.0541061323197,1997.5676326653997,5582.18086953592,6977.7260869199
